date,holiday,malaysia_cases_new,state,state_cases_new,admitted_covid,icu_covid
2022-08-01,non-holiday,3213,Johor,114,41,4
2022-08-01,non-holiday,3213,Kedah,130,26,8
2022-08-01,non-holiday,3213,Kelantan,42,6,2
2022-08-01,non-holiday,3213,Melaka,90,14,2
2022-08-01,non-holiday,3213,Negeri Sembilan,153,14,2
2022-08-01,non-holiday,3213,Pahang,34,7,0
2022-08-01,non-holiday,3213,Perak,224,45,3
2022-08-01,non-holiday,3213,Perlis,6,7,2
2022-08-01,non-holiday,3213,Pulau Pinang,171,29,6
2022-08-01,non-holiday,3213,Sabah,241,14,7
2022-08-01,non-holiday,3213,Sarawak,52,20,4
2022-08-01,non-holiday,3213,Selangor,865,64,12
2022-08-01,non-holiday,3213,Terengganu,23,7,0
2022-08-01,non-holiday,3213,W.P. Kuala Lumpur,1006,27,2
2022-08-01,non-holiday,3213,W.P. Labuan,3,3,0
2022-08-01,non-holiday,3213,W.P. Putrajaya,59,7,0
2022-08-02,non-holiday,4204,Johor,82,42,4
2022-08-02,non-holiday,4204,Kedah,168,35,7
2022-08-02,non-holiday,4204,Kelantan,90,12,3
2022-08-02,non-holiday,4204,Melaka,80,10,1
2022-08-02,non-holiday,4204,Negeri Sembilan,167,18,2
2022-08-02,non-holiday,4204,Pahang,53,17,1
2022-08-02,non-holiday,4204,Perak,237,45,3
2022-08-02,non-holiday,4204,Perlis,12,1,2
2022-08-02,non-holiday,4204,Pulau Pinang,172,18,6
2022-08-02,non-holiday,4204,Sabah,272,23,3
2022-08-02,non-holiday,4204,Sarawak,112,13,6
2022-08-02,non-holiday,4204,Selangor,1526,73,14
2022-08-02,non-holiday,4204,Terengganu,37,7,0
2022-08-02,non-holiday,4204,W.P. Kuala Lumpur,1080,22,4
2022-08-02,non-holiday,4204,W.P. Labuan,10,1,0
2022-08-02,non-holiday,4204,W.P. Putrajaya,106,7,0
2022-08-03,non-holiday,5330,Johor,113,46,5
2022-08-03,non-holiday,5330,Kedah,137,39,4
2022-08-03,non-holiday,5330,Kelantan,72,9,3
2022-08-03,non-holiday,5330,Melaka,169,12,2
2022-08-03,non-holiday,5330,Negeri Sembilan,227,16,1
2022-08-03,non-holiday,5330,Pahang,66,13,3
2022-08-03,non-holiday,5330,Perak,316,41,5
2022-08-03,non-holiday,5330,Perlis,24,7,1
2022-08-03,non-holiday,5330,Pulau Pinang,195,19,5
2022-08-03,non-holiday,5330,Sabah,277,26,5
2022-08-03,non-holiday,5330,Sarawak,92,10,4
2022-08-03,non-holiday,5330,Selangor,2054,79,11
2022-08-03,non-holiday,5330,Terengganu,47,5,0
2022-08-03,non-holiday,5330,W.P. Kuala Lumpur,1449,27,0
2022-08-03,non-holiday,5330,W.P. Labuan,11,0,0
2022-08-03,non-holiday,5330,W.P. Putrajaya,81,9,0
2022-08-04,non-holiday,4413,Johor,95,46,5
2022-08-04,non-holiday,4413,Kedah,123,28,5
2022-08-04,non-holiday,4413,Kelantan,93,13,2
2022-08-04,non-holiday,4413,Melaka,159,12,3
2022-08-04,non-holiday,4413,Negeri Sembilan,263,11,2
2022-08-04,non-holiday,4413,Pahang,89,11,2
2022-08-04,non-holiday,4413,Perak,327,47,5
2022-08-04,non-holiday,4413,Perlis,21,4,1
2022-08-04,non-holiday,4413,Pulau Pinang,230,23,6
2022-08-04,non-holiday,4413,Sabah,281,18,7
2022-08-04,non-holiday,4413,Sarawak,107,15,2
2022-08-04,non-holiday,4413,Selangor,1129,93,8
2022-08-04,non-holiday,4413,Terengganu,48,7,0
2022-08-04,non-holiday,4413,W.P. Kuala Lumpur,1344,14,4
2022-08-04,non-holiday,4413,W.P. Labuan,14,1,0
2022-08-04,non-holiday,4413,W.P. Putrajaya,90,7,0
2022-08-05,non-holiday,3927,Johor,128,59,6
2022-08-05,non-holiday,3927,Kedah,121,23,6
2022-08-05,non-holiday,3927,Kelantan,49,7,2
2022-08-05,non-holiday,3927,Melaka,155,13,2
2022-08-05,non-holiday,3927,Negeri Sembilan,231,21,2
2022-08-05,non-holiday,3927,Pahang,93,8,2
2022-08-05,non-holiday,3927,Perak,324,40,3
2022-08-05,non-holiday,3927,Perlis,12,5,0
2022-08-05,non-holiday,3927,Pulau Pinang,232,32,7
2022-08-05,non-holiday,3927,Sabah,315,29,9
2022-08-05,non-holiday,3927,Sarawak,99,12,3
