date,state,admitted_covid
01-08-22,Johor,41
01-08-22,Kedah,26
01-08-22,Kelantan,6
01-08-22,Melaka,14
01-08-22,Negeri Sembilan,14
01-08-22,Pahang,7
01-08-22,Perak,45
01-08-22,Perlis,7
01-08-22,Pulau Pinang,29
01-08-22,Sabah,14
01-08-22,Sarawak,20
01-08-22,Selangor,64
01-08-22,Terengganu,7
01-08-22,W.P. Kuala Lumpur,27
01-08-22,W.P. Labuan,3
01-08-22,W.P. Putrajaya,7
02-08-22,Johor,42
02-08-22,Kedah,35
02-08-22,Kelantan,12
02-08-22,Melaka,10
02-08-22,Negeri Sembilan,18
02-08-22,Pahang,17
02-08-22,Perak,45
02-08-22,Perlis,1
02-08-22,Pulau Pinang,18
02-08-22,Sabah,23
02-08-22,Sarawak,13
02-08-22,Selangor,73
02-08-22,Terengganu,7
02-08-22,W.P. Kuala Lumpur,22
02-08-22,W.P. Labuan,1
02-08-22,W.P. Putrajaya,7
03-08-22,Johor,46
03-08-22,Kedah,39
03-08-22,Kelantan,9
03-08-22,Melaka,12
03-08-22,Negeri Sembilan,16
03-08-22,Pahang,13
03-08-22,Perak,41
03-08-22,Perlis,7
03-08-22,Pulau Pinang,19
03-08-22,Sabah,26
03-08-22,Sarawak,10
03-08-22,Selangor,79
03-08-22,Terengganu,5
03-08-22,W.P. Kuala Lumpur,27
03-08-22,W.P. Labuan,0
03-08-22,W.P. Putrajaya,9
04-08-22,Johor,46
04-08-22,Kedah,28
04-08-22,Kelantan,13
04-08-22,Melaka,12
04-08-22,Negeri Sembilan,11
04-08-22,Pahang,11
04-08-22,Perak,47
04-08-22,Perlis,4
04-08-22,Pulau Pinang,23
04-08-22,Sabah,18
04-08-22,Sarawak,15
04-08-22,Selangor,93
04-08-22,Terengganu,7
04-08-22,W.P. Kuala Lumpur,14
04-08-22,W.P. Labuan,1
04-08-22,W.P. Putrajaya,7
05-08-22,Johor,59
05-08-22,Kedah,23
05-08-22,Kelantan,7
05-08-22,Melaka,13
05-08-22,Negeri Sembilan,21
05-08-22,Pahang,8
05-08-22,Perak,40
05-08-22,Perlis,5
05-08-22,Pulau Pinang,32
05-08-22,Sabah,29
05-08-22,Sarawak,12
05-08-22,Selangor,77
05-08-22,Terengganu,9
05-08-22,W.P. Kuala Lumpur,29
05-08-22,W.P. Labuan,2
05-08-22,W.P. Putrajaya,10
06-08-22,Johor,29
06-08-22,Kedah,17
06-08-22,Kelantan,10
06-08-22,Melaka,17
06-08-22,Negeri Sembilan,19
06-08-22,Pahang,9
06-08-22,Perak,51
06-08-22,Perlis,2
06-08-22,Pulau Pinang,20
06-08-22,Sabah,17
06-08-22,Sarawak,8
06-08-22,Selangor,82
06-08-22,Terengganu,3
06-08-22,W.P. Kuala Lumpur,27
06-08-22,W.P. Labuan,2
06-08-22,W.P. Putrajaya,9
07-08-22,Johor,46
07-08-22,Kedah,34
07-08-22,Kelantan,10
07-08-22,Melaka,8
07-08-22,Negeri Sembilan,18
07-08-22,Pahang,13
07-08-22,Perak,37
07-08-22,Perlis,3
07-08-22,Pulau Pinang,19
07-08-22,Sabah,20
07-08-22,Sarawak,11
07-08-22,Selangor,133
07-08-22,Terengganu,9
07-08-22,W.P. Kuala Lumpur,19
07-08-22,W.P. Labuan,2
07-08-22,W.P. Putrajaya,4
08-08-22,Johor,53
08-08-22,Kedah,33
08-08-22,Kelantan,16
08-08-22,Melaka,18
08-08-22,Negeri Sembilan,11
08-08-22,Pahang,10
08-08-22,Perak,25
08-08-22,Perlis,4
08-08-22,Pulau Pinang,7
08-08-22,Sabah,26
08-08-22,Sarawak,17
08-08-22,Selangor,74
08-08-22,Terengganu,11
08-08-22,W.P. Kuala Lumpur,19
08-08-22,W.P. Labuan,3
08-08-22,W.P. Putrajaya,6
09-08-22,Johor,50
09-08-22,Kedah,18
09-08-22,Kelantan,12
